dataset,repeat,fold,condition,generator_seed,generator_seconds,sampling_strategy,minority_coverage_distance,minority_diversity,exact_match_rate,membership_auc
Kidney mortality,0,0,Standard CTGAN,10042,12.952153205871582,outcome-conditional rejection sampling,1.6398993615552564,6.642343614368089,0.0,0.4903535
Kidney mortality,0,0,SepAware CTGAN,10042,13.179435014724731,outcome-conditional rejection sampling,1.456723894817411,4.022860969888202,0.0,0.47689237500000004
Kidney mortality,0,0,Standard TVAE,20042,1.4416677951812744,minority-conditional TVAE,3.3790305402172445,1.5946407539496779,0.0,0.47735649999999996
Kidney mortality,0,0,SepAware TVAE,20042,1.662499189376831,minority-conditional TVAE,3.4133426839957446,0.8837295965569057,0.0,0.47922125000000004
Kidney mortality,0,1,Standard CTGAN,10079,11.3562490940094,outcome-conditional rejection sampling,2.03342714987727,6.4394898506345015,0.0,0.514977375
Kidney mortality,0,1,SepAware CTGAN,10079,11.604696273803711,outcome-conditional rejection sampling,1.9647998394990596,4.305166830143833,0.0,0.5150495
Kidney mortality,0,1,Standard TVAE,20079,1.4305682182312012,minority-conditional TVAE,4.1186841722962555,1.2630814185268453,0.0,0.520825375
Kidney mortality,0,1,SepAware TVAE,20079,1.6941320896148682,minority-conditional TVAE,4.127838322205591,1.234688035790138,0.0,0.5216645
Kidney mortality,0,2,Standard CTGAN,10116,11.338833093643188,outcome-conditional rejection sampling,1.7382899530684737,5.992627014041752,0.0,0.497599625
Kidney mortality,0,2,SepAware CTGAN,10116,11.590893983840942,outcome-conditional rejection sampling,1.5134026385328199,3.976050584653506,0.0,0.499251
Kidney mortality,0,2,Standard TVAE,20116,1.4712069034576416,minority-conditional TVAE,3.188365631141857,2.0230616338350185,0.0,0.5038938749999999
Kidney mortality,0,2,SepAware TVAE,20116,1.6760449409484863,minority-conditional TVAE,3.1157886513884137,1.314796162891524,0.0,0.5045705
Kidney mortality,0,3,Standard CTGAN,10153,12.371242046356201,outcome-conditional rejection sampling,1.7395406074781954,7.002475158859795,0.0,0.5023617499999999
Kidney mortality,0,3,SepAware CTGAN,10153,12.597050905227661,outcome-conditional rejection sampling,1.4784056527295304,5.026446709655395,0.0,0.504521875
Kidney mortality,0,3,Standard TVAE,20153,1.5647051334381104,minority-conditional TVAE,2.389105240617477,3.1704641690990294,0.0005595970900951316,0.505325875
Kidney mortality,0,3,SepAware TVAE,20153,1.7637090682983398,minority-conditional TVAE,2.386461421765035,1.987140483454868,0.001119194180190263,0.5049744999999999
Kidney mortality,0,4,Standard CTGAN,10190,12.192848682403564,outcome-conditional rejection sampling,1.829774912216749,7.835771924717165,0.0,0.51510625
Kidney mortality,0,4,SepAware CTGAN,10190,12.38272476196289,outcome-conditional rejection sampling,1.7376492793949185,4.767278434927227,0.0,0.51007125
Kidney mortality,0,4,Standard TVAE,20190,1.560204029083252,minority-conditional TVAE,3.080859744466623,1.638962882238021,0.0002797985450475658,0.50660575
Kidney mortality,0,4,SepAware TVAE,20190,1.7682549953460693,minority-conditional TVAE,3.2276127231429035,1.5009659797190262,0.0016787912702853946,0.505995875
Kidney mortality,1,0,Standard CTGAN,11042,11.877449989318848,outcome-conditional rejection sampling,1.5861907204380339,6.24322333921129,0.0,0.493810125
Kidney mortality,1,0,SepAware CTGAN,11042,12.106022834777832,outcome-conditional rejection sampling,1.4718090024435857,3.718285875270161,0.0002799552071668533,0.498504375
Kidney mortality,1,0,Standard TVAE,21042,1.5199780464172363,minority-conditional TVAE,2.788153600078406,2.1279697856391864,0.0,0.4854515
Kidney mortality,1,0,SepAware TVAE,21042,1.752157211303711,minority-conditional TVAE,2.7015349321315063,1.8958419891626377,0.0,0.484671375
Kidney mortality,1,1,Standard CTGAN,11079,11.295454978942871,outcome-conditional rejection sampling,1.9228622722237165,6.912435725642431,0.0,0.511066875
Kidney mortality,1,1,SepAware CTGAN,11079,11.512337923049927,outcome-conditional rejection sampling,1.732756726978921,4.882090492869969,0.0,0.515830625
Kidney mortality,1,1,Standard TVAE,21079,1.4273700714111328,minority-conditional TVAE,3.4432303277832013,1.9602314596820618,0.0,0.505825625
Kidney mortality,1,1,SepAware TVAE,21079,1.6270620822906494,minority-conditional TVAE,3.4618243684558494,1.5234445256142521,0.0002799552071668533,0.5094408749999999
Kidney mortality,1,2,Standard CTGAN,11116,11.19343090057373,outcome-conditional rejection sampling,1.531751357631246,7.201813881626635,0.0,0.49753625
Kidney mortality,1,2,SepAware CTGAN,11116,11.409512758255005,outcome-conditional rejection sampling,1.3168249773922083,4.887912194010684,0.0,0.497460875
Kidney mortality,1,2,Standard TVAE,21116,1.456334114074707,minority-conditional TVAE,2.5903112540853286,1.6036071195499584,0.0,0.49937325
Kidney mortality,1,2,SepAware TVAE,21116,1.7089009284973145,minority-conditional TVAE,2.526661057877196,1.3594455602599704,0.0,0.49979699999999994
Kidney mortality,1,3,Standard CTGAN,11153,11.960233926773071,outcome-conditional rejection sampling,1.6892483522739956,7.000586411260335,0.0,0.49700075
Kidney mortality,1,3,SepAware CTGAN,11153,12.174113988876343,outcome-conditional rejection sampling,1.6653200070101735,3.748123981263701,0.0,0.49969700000000006
Kidney mortality,1,3,Standard TVAE,21153,1.490163803100586,minority-conditional TVAE,3.3667241333057336,2.138576660792943,0.0,0.50810875
Kidney mortality,1,3,SepAware TVAE,21153,1.696882724761963,minority-conditional TVAE,3.312365967700472,2.3079763898882644,0.0,0.51087525
Kidney mortality,1,4,Standard CTGAN,11190,11.610615015029907,outcome-conditional rejection sampling,1.722121014677352,7.024866543013223,0.0,0.500143875
Kidney mortality,1,4,SepAware CTGAN,11190,11.80819821357727,outcome-conditional rejection sampling,1.6435722731150193,4.496735578047444,0.0,0.493707
Kidney mortality,1,4,Standard TVAE,21190,1.4527130126953125,minority-conditional TVAE,3.39848341553682,2.095255361673985,0.0002797985450475658,0.5000552500000001
Kidney mortality,1,4,SepAware TVAE,21190,1.6672539710998535,minority-conditional TVAE,3.488012698368565,1.085499789982773,0.0002797985450475658,0.500354375
Kidney mortality,2,0,Standard CTGAN,12042,11.26313304901123,outcome-conditional rejection sampling,1.869092075186366,7.627124009333579,0.0,0.488079125
Kidney mortality,2,0,SepAware CTGAN,12042,11.483062028884888,outcome-conditional rejection sampling,1.602522818420851,5.0752405341051645,0.0002799552071668533,0.4838615
Kidney mortality,2,0,Standard TVAE,22042,1.4277369976043701,minority-conditional TVAE,3.1241589635793727,1.8520199477525674,0.0,0.48807524999999996
Kidney mortality,2,0,SepAware TVAE,22042,1.640578031539917,minority-conditional TVAE,3.0640041662060287,1.8079266814195436,0.0,0.488284125
Kidney mortality,2,1,Standard CTGAN,12079,11.875970840454102,outcome-conditional rejection sampling,1.9285726885064463,7.242206405436,0.0,0.51321375
Kidney mortality,2,1,SepAware CTGAN,12079,12.10208010673523,outcome-conditional rejection sampling,1.8119041413323882,4.6472578750449545,0.0,0.5136715000000001
Kidney mortality,2,1,Standard TVAE,22079,1.4448401927947998,minority-conditional TVAE,3.9928110418218288,1.6055818414718495,0.0,0.500185375
Kidney mortality,2,1,SepAware TVAE,22079,1.6295459270477295,minority-conditional TVAE,4.17350170977041,0.6873373626886985,0.0005599104143337066,0.5007507499999999
Kidney mortality,2,2,Standard CTGAN,12116,11.173137903213501,outcome-conditional rejection sampling,1.6819778688863525,6.241289860281561,0.0,0.509098125
Kidney mortality,2,2,SepAware CTGAN,12116,11.400737047195435,outcome-conditional rejection sampling,1.6236345918953077,3.7468764443564964,0.0,0.5153553750000001
Kidney mortality,2,2,Standard TVAE,22116,1.4905879497528076,minority-conditional TVAE,3.011892649589138,2.9788409084381415,0.0,0.5042105
Kidney mortality,2,2,SepAware TVAE,22116,1.6888840198516846,minority-conditional TVAE,2.840284256069909,1.9898510713892137,0.0,0.50844325
Kidney mortality,2,3,Standard CTGAN,12153,11.62297010421753,outcome-conditional rejection sampling,1.646526476865973,6.377357496926061,0.0,0.507258125
Kidney mortality,2,3,SepAware CTGAN,12153,11.87958288192749,outcome-conditional rejection sampling,1.4334701945989883,4.476606969192087,0.0,0.514420625
Kidney mortality,2,3,Standard TVAE,22153,1.5098068714141846,minority-conditional TVAE,2.8149611639912684,2.4155263527915154,0.0,0.5067032499999999
Kidney mortality,2,3,SepAware TVAE,22153,1.7151448726654053,minority-conditional TVAE,2.5354142007038587,1.8366801839964102,0.0,0.5030868749999999
Kidney mortality,2,4,Standard CTGAN,12190,15.397912979125977,outcome-conditional rejection sampling,1.6072319127723416,6.626503405544695,0.0,0.491169875
Kidney mortality,2,4,SepAware CTGAN,12190,15.624279975891113,outcome-conditional rejection sampling,1.4712948845095435,4.602393489378118,0.0,0.49356174999999997
Kidney mortality,2,4,Standard TVAE,22190,1.5700328350067139,minority-conditional TVAE,2.538965094866439,2.603300993414317,0.0,0.49434025000000004
Kidney mortality,2,4,SepAware TVAE,22190,1.7740521430969238,minority-conditional TVAE,2.5125318723856145,2.1108391050674626,0.0,0.49805749999999993
